日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
114/02/03,"113,031,525","120,769,676,393","1,065.00","1,075.00","1,060.00","1,070.00",-65.00,"247,531",
114/02/04,"57,904,652","63,132,252,012","1,085.00","1,100.00","1,080.00","1,095.00",+25.00,"59,315",
114/02/05,"43,082,532","47,931,709,801","1,110.00","1,120.00","1,105.00","1,110.00",+15.00,"51,245",
114/02/06,"33,768,196","37,638,807,097","1,120.00","1,120.00","1,105.00","1,115.00",+5.00,"32,994",
114/02/07,"31,107,545","34,745,052,940","1,110.00","1,125.00","1,105.00","1,125.00",+10.00,"35,637",
114/02/10,"31,037,109","34,425,517,969","1,125.00","1,125.00","1,095.00","1,105.00",-20.00,"60,839",
114/02/11,"21,023,057","23,294,288,731","1,110.00","1,115.00","1,100.00","1,110.00",+5.00,"31,837",
114/02/12,"26,190,392","28,966,591,975","1,110.00","1,115.00","1,100.00","1,100.00",-10.00,"38,511",
114/02/13,"35,681,521","38,806,197,999","1,090.00","1,095.00","1,080.00","1,090.00",-10.00,"72,456",
114/02/14,"73,417,323","78,100,130,074","1,065.00","1,070.00","1,060.00","1,060.00",-30.00,"218,986",
114/02/17,"37,215,861","40,057,489,554","1,065.00","1,085.00","1,065.00","1,085.00",+25.00,"57,081",
114/02/18,"24,018,940","26,204,727,000","1,085.00","1,100.00","1,080.00","1,100.00",+15.00,"30,650",
114/02/19,"28,756,849","31,328,641,002","1,090.00","1,095.00","1,085.00","1,090.00",-10.00,"33,952",
114/02/20,"31,108,197","33,537,160,793","1,080.00","1,085.00","1,070.00","1,080.00",-10.00,"43,395",
114/02/21,"31,480,715","34,322,859,039","1,085.00","1,095.00","1,080.00","1,095.00",+15.00,"29,895",
114/02/24,"33,837,606","36,461,265,148","1,080.00","1,085.00","1,075.00","1,075.00",-20.00,"47,924",
114/02/25,"53,174,277","56,084,293,935","1,055.00","1,060.00","1,050.00","1,055.00",-20.00,"178,967",
114/02/26,"42,921,499","45,208,281,264","1,045.00","1,060.00","1,045.00","1,060.00",+5.00,"75,535",
114/02/27,"61,646,900","64,595,715,596","1,065.00","1,065.00","1,040.00","1,040.00",-20.00,"121,377",
114/03/03,"73,279,419","74,076,141,634","1,000.00","1,020.00","1,000.00","1,020.00",-20.00,"208,673",
114/03/04,"70,879,417","71,031,410,815",996.00,"1,010.00",996.00,"1,000.00",-20.00,"184,239",
114/03/05,"45,086,222","46,126,315,408","1,020.00","1,030.00","1,015.00","1,020.00",+20.00,"63,259",
114/03/06,"49,318,590","49,937,586,396","1,020.00","1,025.00","1,005.00","1,005.00",-15.00,"99,898",
114/03/07,"50,358,724","50,550,677,397","1,005.00","1,010.00","1,000.00","1,005.00"," 0.00","95,905",
114/03/10,"55,410,836","55,278,923,810","1,005.00","1,005.00",992.00,998.00,-7.00,"189,791",
114/03/11,"58,764,791","57,064,143,987",969.00,979.00,963.00,971.00,-27.00,"323,403",
114/03/12,"38,527,201","37,951,553,847",980.00,995.00,976.00,988.00,+17.00,"132,537",
114/03/13,"42,915,696","42,199,819,801","1,000.00","1,005.00",965.00,965.00,-23.00,"192,169",
114/03/14,"42,394,920","40,803,705,615",965.00,969.00,955.00,959.00,-6.00,"163,735",
114/03/17,"35,012,870","34,177,107,575",977.00,985.00,968.00,970.00,+11.00,"77,808",
114/03/18,"25,716,157","24,986,151,171",976.00,978.00,968.00,971.00,X0.00,"64,687",
114/03/19,"43,493,556","41,620,146,409",965.00,967.00,950.00,952.00,-19.00,"234,877",
114/03/20,"31,993,556","31,303,215,198",978.00,985.00,971.00,985.00,+33.00,"61,507",
114/03/21,"46,869,716","45,683,124,466",985.00,987.00,970.00,972.00,-13.00,"63,137",
114/03/24,"16,866,075","16,480,791,636",986.00,987.00,972.00,972.00," 0.00","37,815",
114/03/25,"28,306,040","28,011,143,558",989.00,995.00,985.00,990.00,+18.00,"58,257",
114/03/26,"25,939,071","25,540,092,915",995.00,995.00,980.00,980.00,-10.00,"41,985",
114/03/27,"44,589,770","42,834,147,980",961.00,964.00,958.00,958.00,-22.00,"170,110",
