股票代號,名稱,成交量,成交金額,開盤價,最高價,最低價,收盤價,漲跌價,成交筆數,RSI,KD,MACD,SMA,Momentum,籌碼集中度
0050,元大台灣50,87992466,0,0.00,0.00,0.00,72.20,0.00,0,8799.25,7.22,67.20,41.10,73.64,87992.47
0051,元大中型100,101035,0,0.00,0.00,0.00,103.60,0.00,0,10.10,10.36,98.60,56.80,105.67,101.03
0052,富邦科技,45458233,0,0.00,0.00,0.00,42.82,0.00,0,4545.82,4.28,37.82,26.41,43.68,45458.23
0053,元大電子,62358,0,0.00,0.00,0.00,159.70,0.00,0,6.24,15.97,154.70,84.85,162.89,62.36
0055,元大MSCI金融,151878,0,0.00,0.00,0.00,32.01,0.00,0,15.19,3.20,27.01,21.00,32.65,151.88
0056,元大高股息,90529500,0,0.00,0.00,0.00,37.85,0.00,0,9052.95,3.79,32.85,23.93,38.61,90529.50
0057,富邦摩台,6390,0,0.00,0.00,0.00,213.85,0.00,0,0.64,21.38,208.85,111.92,218.13,6.39
0061,元大寶滬深,240597,0,0.00,0.00,0.00,23.52,0.00,0,24.06,2.35,18.52,16.76,23.99,240.60
006203,元大MSCI台灣,8306,0,0.00,0.00,0.00,130.80,0.00,0,0.83,13.08,125.80,70.40,133.42,8.31
006204,永豐臺灣加權,20034,0,0.00,0.00,0.00,163.05,0.00,0,2.00,16.30,158.05,86.53,166.31,20.03
006205,富邦上証,792865,0,0.00,0.00,0.00,40.72,0.00,0,79.29,4.07,35.72,25.36,41.53,792.87
006206,元大上證50,149981,0,0.00,0.00,0.00,37.11,0.00,0,15.00,3.71,32.11,23.55,37.85,149.98
006207,復華滬深,352394,0,0.00,0.00,0.00,31.40,0.00,0,35.24,3.14,26.40,20.70,32.03,352.39
006208,富邦台50,4221611,0,0.00,0.00,0.00,167.00,0.00,0,422.16,16.70,162.00,88.50,170.34,4221.61
00625K,富邦上証+R,0,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00
00631L,元大台灣50正2,2344947,0,0.00,0.00,0.00,440.50,0.00,0,234.49,44.05,435.50,225.25,449.31,2344.95
00632R,元大台灣50反1,26380416,0,0.00,0.00,0.00,14.84,0.00,0,2638.04,1.48,9.84,12.42,15.14,26380.42
00633L,富邦上証正2,6194964,0,0.00,0.00,0.00,47.15,0.00,0,619.50,4.71,42.15,28.57,48.09,6194.96
00634R,富邦上証反1,69000,0,0.00,0.00,0.00,3.24,0.00,0,6.90,0.32,-1.76,6.62,3.30,69.00
00635U,期元大S&P黃金,16261029,0,0.00,0.00,0.00,53.70,0.00,0,1626.10,5.37,48.70,31.85,54.77,16261.03
00636,國泰中國A50,1371135,0,0.00,0.00,0.00,26.36,0.00,0,137.11,2.64,21.36,18.18,26.89,1371.13
00636K,國泰中國A50+U,200,0,0.00,0.00,0.00,8.47,0.00,0,0.02,0.85,3.47,9.23,8.64,0.20
00637L,元大滬深300正2,44515636,0,0.00,0.00,0.00,19.36,0.00,0,4451.56,1.94,14.36,14.68,19.75,44515.64
00638R,元大滬深300反1,103021,0,0.00,0.00,0.00,6.95,0.00,0,10.30,0.70,1.95,8.47,7.09,103.02
00639,富邦深100,1583972,0,0.00,0.00,0.00,15.35,0.00,0,158.40,1.53,10.35,12.68,15.66,1583.97
00640L,富邦日本正2,710925,0,0.00,0.00,0.00,83.70,0.00,0,71.09,8.37,78.70,46.85,85.37,710.92
00641R,富邦日本反1,2269640,0,0.00,0.00,0.00,4.35,0.00,0,226.96,0.43,-0.65,7.17,4.44,2269.64
00642U,期元大S&P石油,9137942,0,0.00,0.00,0.00,16.02,0.00,0,913.79,1.60,11.02,13.01,16.34,9137.94
00643,群益深証中小,2650289,0,0.00,0.00,0.00,18.05,0.00,0,265.03,1.81,13.05,14.03,18.41,2650.29
00643K,群益深証中小+R,3000,0,0.00,0.00,0.00,4.05,0.00,0,0.30,0.40,-0.95,7.03,4.13,3.00
00645,富邦日本,501315,0,0.00,0.00,0.00,49.71,0.00,0,50.13,4.97,44.71,29.86,50.70,501.31
00646,元大S&P500,4151238,0,0.00,0.00,0.00,67.80,0.00,0,415.12,6.78,62.80,38.90,69.16,4151.24
00647L,元大S&P500正2,64495,0,0.00,0.00,0.00,117.00,0.00,0,6.45,11.70,112.00,63.50,119.34,64.50
00648R,元大S&P500反1,874186,0,0.00,0.00,0.00,4.32,0.00,0,87.42,0.43,-0.68,7.16,4.41,874.19
00650L,復華香港正2,3461690,0,0.00,0.00,0.00,18.77,0.00,0,346.17,1.88,13.77,14.38,19.15,3461.69
00651R,復華香港反1,352806,0,0.00,0.00,0.00,5.07,0.00,0,35.28,0.51,0.07,7.54,5.17,352.81
00652,富邦印度,475174,0,0.00,0.00,0.00,35.66,0.00,0,47.52,3.57,30.66,22.83,36.37,475.17
00653L,富邦印度正2,216081,0,0.00,0.00,0.00,53.55,0.00,0,21.61,5.35,48.55,31.77,54.62,216.08
00654R,富邦印度反1,29000,0,0.00,0.00,0.00,6.50,0.00,0,2.90,0.65,1.50,8.25,6.63,29.00
00655L,國泰中國A50正2,3092721,0,0.00,0.00,0.00,32.53,0.00,0,309.27,3.25,27.53,21.27,33.18,3092.72
00656R,國泰中國A50反1,95840,0,0.00,0.00,0.00,6.15,0.00,0,9.58,0.61,1.15,8.07,6.27,95.84
00657,國泰日經225,605808,0,0.00,0.00,0.00,62.20,0.00,0,60.58,6.22,57.20,36.10,63.44,605.81
00657K,國泰日經225+U,200,0,0.00,0.00,0.00,19.70,0.00,0,0.02,1.97,14.70,14.85,20.09,0.20
00660,元大歐洲50,19801,0,0.00,0.00,0.00,43.57,0.00,0,1.98,4.36,38.57,26.79,44.44,19.80
00661,元大日經225,930346,0,0.00,0.00,0.00,67.40,0.00,0,93.03,6.74,62.40,38.70,68.75,930.35
00662,富邦NASDAQ,4069516,0,0.00,0.00,0.00,102.75,0.00,0,406.95,10.28,97.75,56.38,104.81,4069.52
00663L,國泰臺灣加權正2,4855878,0,0.00,0.00,0.00,57.50,0.00,0,485.59,5.75,52.50,33.75,58.65,4855.88
00664R,國泰臺灣加權反1,7303931,0,0.00,0.00,0.00,2.40,0.00,0,730.39,0.24,-2.60,6.20,2.45,7303.93
00665L,富邦恒生國企正2,17831096,0,0.00,0.00,0.00,11.14,0.00,0,1783.11,1.11,6.14,10.57,11.36,17831.10
00666R,富邦恒生國企反1,22000,0,0.00,0.00,0.00,8.58,0.00,0,2.20,0.86,3.58,9.29,8.75,22.00
00668,國泰美國道瓊,190060,0,0.00,0.00,0.00,56.10,0.00,0,19.01,5.61,51.10,33.05,57.22,190.06
00668K,國泰美國道瓊+U,200,0,0.00,0.00,0.00,17.92,0.00,0,0.02,1.79,12.92,13.96,18.28,0.20
00669R,國泰美國道瓊反1,434700,0,0.00,0.00,0.00,5.61,0.00,0,43.47,0.56,0.61,7.80,5.72,434.70
00670L,富邦NASDAQ正2,659563,0,0.00,0.00,0.00,162.15,0.00,0,65.96,16.21,157.15,86.08,165.39,659.56
00671R,富邦NASDAQ反1,8236154,0,0.00,0.00,0.00,2.83,0.00,0,823.62,0.28,-2.17,6.42,2.89,8236.15
00673R,期元大S&P原油反1,15371080,0,0.00,0.00,0.00,26.50,0.00,0,1537.11,2.65,21.50,18.25,27.03,15371.08
00674R,期元大S&P黃金反1,5860246,0,0.00,0.00,0.00,4.99,0.00,0,586.02,0.50,-0.01,7.50,5.09,5860.25
