技術指標,股票代號,名稱,價格,成交量,指標值,說明
RSI,02001L,富邦蘋果正二N,128.00,315000,45.37,RSI 低於 30，可能即將反彈
RSI,00675L,富邦臺灣加權正2,278.75,7214204,46.32,RSI 低於 30，可能即將反彈
RSI,00663L,國泰臺灣加權正2,92.25,27247945,46.36,RSI 低於 30，可能即將反彈
RSI,00631L,元大台灣50正2,32.17,882224483,46.38,RSI 低於 30，可能即將反彈
RSI,00685L,群益臺灣加權正2,10.54,1120898344,46.41,RSI 低於 30，可能即將反彈
RSI,00988A,主動統一全球創新,16.24,171550252,47.14,RSI 低於 30，可能即將反彈
RSI,00954,中信日本半導體,18.78,5877005,47.35,RSI 低於 30，可能即將反彈
RSI,6861,睿生光電,225.00,676294,47.37,RSI 低於 30，可能即將反彈
RSI,2338,光罩,43.20,5492437,47.37,RSI 低於 30，可能即將反彈
RSI,3583,辛耘,747.00,1414605,47.37,RSI 低於 30，可能即將反彈
KD,1526,日馳,17.25,4027433,9.87,KD 指標大於 80，可能形成黃金交叉
KD,4133,亞諾法,22.35,1530488,9.83,KD 指標大於 80，可能形成黃金交叉
KD,6598,ABC-KY,27.65,1790410,9.72,KD 指標大於 80，可能形成黃金交叉
KD,6277,宏正,80.50,3666335,8.49,KD 指標大於 80，可能形成黃金交叉
KD,4178,永笙-KY,20.00,2145619,8.11,KD 指標大於 80，可能形成黃金交叉
KD,6243,迅杰,51.60,15677569,7.61,KD 指標大於 80，可能形成黃金交叉
KD,1468,昶和,13.60,79075,7.51,KD 指標大於 80，可能形成黃金交叉
KD,00686R,群益臺灣加權反1,1.08,24252168,6.93,KD 指標大於 80，可能形成黃金交叉
KD,00632R,元大台灣50反1,10.83,303003578,6.80,KD 指標大於 80，可能形成黃金交叉
KD,00676R,富邦臺灣加權反1,5.97,20718976,6.42,KD 指標大於 80，可能形成黃金交叉
MACD,1232,大統益,168.50,3376937,6.50,MACD 大於 0，可能進入上升趨勢
MACD,6277,宏正,80.50,3666335,6.30,MACD 大於 0，可能進入上升趨勢
MACD,2379,瑞昱,718.00,7045073,6.00,MACD 大於 0，可能進入上升趨勢
MACD,6243,迅杰,51.60,15677569,3.65,MACD 大於 0，可能進入上升趨勢
MACD,2727,王品,218.50,880882,3.50,MACD 大於 0，可能進入上升趨勢
MACD,6655,科定,121.00,23224,2.50,MACD 大於 0，可能進入上升趨勢
MACD,8271,宇瞻,190.00,10777264,2.50,MACD 大於 0，可能進入上升趨勢
MACD,6598,ABC-KY,27.65,1790410,2.45,MACD 大於 0，可能進入上升趨勢
MACD,4904,遠傳,103.00,20826869,2.00,MACD 大於 0，可能進入上升趨勢
MACD,4133,亞諾法,22.35,1530488,2.00,MACD 大於 0，可能進入上升趨勢
SMA,2059,川湖,7890.00,859138,8272.50,均線持續上升，顯示多頭趨勢
SMA,7769,鴻勁,6070.00,809842,6382.50,均線持續上升，顯示多頭趨勢
SMA,6515,穎崴,6055.00,746101,6055.00,均線持續上升，顯示多頭趨勢
SMA,6669,緯穎,4620.00,1627532,4867.50,均線持續上升，顯示多頭趨勢
SMA,2383,台光電,4495.00,3166294,4742.50,均線持續上升，顯示多頭趨勢
SMA,3008,大立光,4010.00,2064267,4135.00,均線持續上升，顯示多頭趨勢
SMA,3443,創意,3835.00,2361511,4010.00,均線持續上升，顯示多頭趨勢
SMA,3661,世芯-KY,3480.00,2162718,3625.00,均線持續上升，顯示多頭趨勢
SMA,2454,聯發科,3370.00,10967157,3535.00,均線持續上升，顯示多頭趨勢
SMA,3653,健策,3210.00,1110713,3302.50,均線持續上升，顯示多頭趨勢
Momentum,1526,日馳,17.25,4027433,109.87,動能指標上升，顯示市場買氣強勁
Momentum,4133,亞諾法,22.35,1530488,109.83,動能指標上升，顯示市場買氣強勁
Momentum,6598,ABC-KY,27.65,1790410,109.72,動能指標上升，顯示市場買氣強勁
Momentum,6277,宏正,80.50,3666335,108.49,動能指標上升，顯示市場買氣強勁
Momentum,4178,永笙-KY,20.00,2145619,108.11,動能指標上升，顯示市場買氣強勁
Momentum,6243,迅杰,51.60,15677569,107.61,動能指標上升，顯示市場買氣強勁
Momentum,1468,昶和,13.60,79075,107.51,動能指標上升，顯示市場買氣強勁
Momentum,00686R,群益臺灣加權反1,1.08,24252168,106.93,動能指標上升，顯示市場買氣強勁
Momentum,00632R,元大台灣50反1,10.83,303003578,106.80,動能指標上升，顯示市場買氣強勁
Momentum,00676R,富邦臺灣加權反1,5.97,20718976,106.42,動能指標上升，顯示市場買氣強勁
ChipRatio,00403A,主動統一升級50,9.52,1314260417,13142.60,籌碼集中度提升，顯示主力介入
ChipRatio,00685L,群益臺灣加權正2,10.54,1120898344,11208.98,籌碼集中度提升，顯示主力介入
ChipRatio,00631L,元大台灣50正2,32.17,882224483,8822.24,籌碼集中度提升，顯示主力介入
ChipRatio,009816,凱基台灣TOP50,14.28,558225706,5582.26,籌碼集中度提升，顯示主力介入
ChipRatio,0050,元大台灣50,100.15,520545951,5205.46,籌碼集中度提升，顯示主力介入
ChipRatio,00981A,主動統一台股增長,26.43,513113801,5131.14,籌碼集中度提升，顯示主力介入
ChipRatio,3481,群創,52.60,343294756,3432.95,籌碼集中度提升，顯示主力介入
ChipRatio,00991A,主動復華未來50,16.82,325860119,3258.60,籌碼集中度提升，顯示主力介入
ChipRatio,00632R,元大台灣50反1,10.83,303003578,3030.04,籌碼集中度提升，顯示主力介入
ChipRatio,6770,力積電,68.90,273270140,2732.70,籌碼集中度提升，顯示主力介入
Bollinger,00631L,元大台灣50正2,32.17,882224483,-2.47%,💥 跌破布林下軌，短線具備極高超跌反彈潛力
Bollinger,2382,廣達,325.50,33474930,-2.33%,💥 跌破布林下軌，短線具備極高超跌反彈潛力
Bollinger,00663L,國泰臺灣加權正2,92.25,27247945,-2.18%,💥 跌破布林下軌，短線具備極高超跌反彈潛力
Bollinger,00927,群益半導體收益,35.68,64181210,-2.03%,💥 跌破布林下軌，短線具備極高超跌反彈潛力
Bollinger,00992A,主動群益科技創新,15.22,92101857,-2.02%,💥 跌破布林下軌，短線具備極高超跌反彈潛力
Bollinger,00991A,主動復華未來50,16.82,325860119,-1.59%,💥 跌破布林下軌，短線具備極高超跌反彈潛力
Bollinger,00406A,主動中信台灣收益,8.82,165937028,-1.43%,💥 跌破布林下軌，短線具備極高超跌反彈潛力
Bollinger,00982A,主動群益台灣強棒,21.43,78001273,-1.34%,💥 跌破布林下軌，短線具備極高超跌反彈潛力
Bollinger,006208,富邦台50,227.75,12203111,-1.31%,💥 跌破布林下軌，短線具備極高超跌反彈潛力
Bollinger,2363,矽統,56.70,13570328,-1.18%,💥 跌破布林下軌，短線具備極高超跌反彈潛力
