技術指標,股票代號,名稱,價格,成交量,指標值,說明,資料日期
RSI,00712,復華富時不動產,7.82,97783648,15.25,RSI 處於相對低檔，目前指標數值：15.25 (已連續符合 10 日)，目前價格低於 5 日均價:此為近期買點,2026-09-24
RSI,1722,台肥,41.30,5075047,21.87,RSI 處於相對低檔，目前指標數值：21.87 (已連續符合 12 日)，目前價格低於 5 日均價:此為近期買點,2026-09-24
RSI,6949,沛爾生醫*-創,50.30,2670365,25.53,RSI 處於相對低檔，目前指標數值：25.53 (已連續符合 14 日)，目前價格低於 5 日均價:此為近期買點,2026-09-24
RSI,2542,興富發,39.50,12437930,25.83,RSI 處於相對低檔，目前指標數值：25.83 (已連續符合 2 日)，目前價格低於 5 日均價:此為近期買點,2026-09-24
RSI,00963,中信全球高股息,12.63,1637096,26.08,RSI 處於相對低檔，目前指標數值：26.08 (已連續符合 3 日)，目前價格低於 5 日均價:此為近期買點,2026-09-24
RSI,9938,百和,38.05,694233,27.56,RSI 處於相對低檔，目前指標數值：27.56 (已連續符合 16 日)，目前價格低於 5 日均價:此為近期買點,2026-09-24
RSI,00917,中信特選金融,22.83,886573,27.84,RSI 處於相對低檔，目前指標數值：27.84 (已連續符合 1 日)，目前價格低於 5 日均價:此為近期買點,2026-09-24
RSI,1476,儒鴻,276.50,1324741,27.87,RSI 處於相對低檔，目前指標數值：27.87 (已連續符合 13 日)，目前價格低於 5 日均價:此為近期買點,2026-09-24
RSI,9914,美利達,66.70,1734778,28.10,RSI 處於相對低檔，目前指標數值：28.10 (已連續符合 10 日)，目前價格低於 5 日均價:此為近期買點,2026-09-24
RSI,2501,國建,21.10,1721060,32.25,RSI 處於相對低檔，目前指標數值：32.25 (已連續符合 2 日)，目前價格低於 5 日均價:此為近期買點,2026-09-24
KD,2254,巨鎧精密-創,88.80,2388492,99.98,KD 呈現多頭向上攻擊，目前指標數值：99.98 (已連續符合 22 日)，目前價格高於 5 日均價:此為近期買點,2026-09-24
KD,3016,嘉晶,160.00,49069255,98.97,KD 呈現多頭向上攻擊，目前指標數值：98.97 (已連續符合 11 日)，目前價格高於 5 日均價:此為近期買點,2026-09-24
KD,2305,全友,62.90,4202638,98.65,KD 呈現多頭向上攻擊，目前指標數值：98.65 (已連續符合 1 日)，目前價格高於 5 日均價:此為近期買點,2026-09-24
KD,6715,嘉基,468.50,559627,98.40,KD 呈現多頭向上攻擊，目前指標數值：98.40 (已連續符合 14 日)，目前價格高於 5 日均價:此為近期買點,2026-09-24
KD,3605,宏致,183.50,14806671,98.18,KD 呈現多頭向上攻擊，目前指標數值：98.18 (已連續符合 12 日)，目前價格高於 5 日均價:此為近期買點,2026-09-24
KD,3443,創意,8525.00,1431023,96.88,KD 呈現多頭向上攻擊，目前指標數值：96.88 (已連續符合 6 日)，目前價格高於 5 日均價:此為近期買點,2026-09-24
KD,1560,中砂,971.00,2167360,96.31,KD 呈現多頭向上攻擊，目前指標數值：96.31 (已連續符合 6 日)，目前價格高於 5 日均價:此為近期買點,2026-09-24
KD,2481,強茂,174.50,35711637,95.94,KD 呈現多頭向上攻擊，目前指標數值：95.94 (已連續符合 7 日)，目前價格高於 5 日均價:此為近期買點,2026-09-24
KD,2033,佳大,36.80,3049504,95.59,KD 呈現多頭向上攻擊，目前指標數值：95.59 (已連續符合 6 日)，目前價格高於 5 日均價:此為近期買點,2026-09-24
KD,2603,長榮,243.00,4936530,95.57,KD 呈現多頭向上攻擊，目前指標數值：95.57 (已連續符合 10 日)，目前價格高於 5 日均價:此為近期買點,2026-09-24
MACD,3443,創意,8525.00,1431023,731.55,MACD 處於多頭上升波段，目前指標數值：731.55 (已連續符合 5 日)，目前價格高於 20 日均價:此為近期買點,2026-09-24
MACD,3653,健策,6920.00,2752264,328.77,MACD 處於多頭上升波段，目前指標數值：328.77 (已連續符合 1 日)，目前價格高於 20 日均價:此為近期買點,2026-09-24
MACD,2454,聯發科,5285.00,7749397,284.81,MACD 處於多頭上升波段，目前指標數值：284.81 (已連續符合 20 日)，目前價格高於 20 日均價:此為近期買點,2026-09-24
MACD,6805,富世達,2530.00,1044107,151.33,MACD 處於多頭上升波段，目前指標數值：151.33 (已連續符合 3 日)，目前價格高於 20 日均價:此為近期買點,2026-09-24
MACD,3017,奇鋐,3555.00,2253191,117.22,MACD 處於多頭上升波段，目前指標數值：117.22 (已連續符合 1 日)，目前價格高於 20 日均價:此為近期買點,2026-09-24
MACD,8996,高力,1530.00,2882133,92.09,MACD 處於多頭上升波段，目前指標數值：92.09 (已連續符合 7 日)，目前價格高於 20 日均價:此為近期買點,2026-09-24
MACD,2360,致茂,2295.00,1973902,64.38,MACD 處於多頭上升波段，目前指標數值：64.38 (已連續符合 5 日)，目前價格高於 20 日均價:此為近期買點,2026-09-24
MACD,1560,中砂,971.00,2167360,63.59,MACD 處於多頭上升波段，目前指標數值：63.59 (已連續符合 18 日)，目前價格高於 20 日均價:此為近期買點,2026-09-24
MACD,6526,達發,840.00,4568699,45.42,MACD 處於多頭上升波段，目前指標數值：45.42 (已連續符合 5 日)，目前價格高於 20 日均價:此為近期買點,2026-09-24
MACD,3665,貿聯-KY,2340.00,4470807,40.21,MACD 處於多頭上升波段，目前指標數值：40.21 (已連續符合 5 日)，目前價格高於 20 日均價:此為近期買點,2026-09-24
SMA,2305,全友,62.90,4202638,41.63%,5MA 站上 20MA 多頭排列 (乖離率 +41.63%)，目前指標數值：+41.63% (已連續符合 20 日)，目前價格高於 20 日均價:此為近期買點,2026-09-24
SMA,6168,宏齊,44.00,7563599,28.94%,5MA 站上 20MA 多頭排列 (乖離率 +28.94%)，目前指標數值：+28.94% (已連續符合 35 日)，目前價格高於 20 日均價:此為近期買點,2026-09-24
SMA,2033,佳大,36.80,3049504,24.36%,5MA 站上 20MA 多頭排列 (乖離率 +24.36%)，目前指標數值：+24.36% (已連續符合 37 日)，目前價格高於 20 日均價:此為近期買點,2026-09-24
SMA,3605,宏致,183.50,14806671,23.83%,5MA 站上 20MA 多頭排列 (乖離率 +23.83%)，目前指標數值：+23.83% (已連續符合 11 日)，目前價格高於 20 日均價:此為近期買點,2026-09-24
SMA,3055,蔚華科,199.00,9026588,23.41%,5MA 站上 20MA 多頭排列 (乖離率 +23.41%)，目前指標數值：+23.41% (已連續符合 28 日)，目前價格高於 20 日均價:此為近期買點,2026-09-24
SMA,3443,創意,8525.00,1431023,22.35%,5MA 站上 20MA 多頭排列 (乖離率 +22.35%)，目前指標數值：+22.35% (已連續符合 36 日)，目前價格高於 20 日均價:此為近期買點,2026-09-24
SMA,6715,嘉基,468.50,559627,22.25%,5MA 站上 20MA 多頭排列 (乖離率 +22.25%)，目前指標數值：+22.25% (已連續符合 6 日)，目前價格高於 20 日均價:此為近期買點,2026-09-24
SMA,6226,光鼎,44.00,2300268,21.54%,5MA 站上 20MA 多頭排列 (乖離率 +21.54%)，目前指標數值：+21.54% (已連續符合 25 日)，目前價格高於 20 日均價:此為近期買點,2026-09-24
SMA,2468,華經,46.25,1794290,20.45%,5MA 站上 20MA 多頭排列 (乖離率 +20.45%)，目前指標數值：+20.45% (已連續符合 9 日)，目前價格高於 20 日均價:此為近期買點,2026-09-24
SMA,6861,睿生光電,279.50,4017443,20.37%,5MA 站上 20MA 多頭排列 (乖離率 +20.37%)，目前指標數值：+20.37% (已連續符合 10 日)，目前價格高於 20 日均價:此為近期買點,2026-09-24
Momentum,2305,全友,62.90,4202638,+63.38%,近 10 日動能強勁 (漲幅 +63.38%)，目前指標數值：+63.38% (已連續符合 19 日)，目前價格高於 10 日均價:此為近期買點,2026-09-24
Momentum,6168,宏齊,44.00,7563599,+47.65%,近 10 日動能強勁 (漲幅 +47.65%)，目前指標數值：+47.65% (已連續符合 26 日)，目前價格高於 10 日均價:此為近期買點,2026-09-24
Momentum,3016,嘉晶,160.00,49069255,+45.45%,近 10 日動能強勁 (漲幅 +45.45%)，目前指標數值：+45.45% (已連續符合 11 日)，目前價格高於 10 日均價:此為近期買點,2026-09-24
